Zipcodes,Population,% Asians,National Rank,Latitude,Longitude,City,State
55403,14873.0,3.40 %,"#2,913",44.970570,-93.284032,Minneapolis,Minnesota
55306,15033.0,3.29 %,"#3,010",44.730974,-93.294940,Burnsville,Minnesota
55317,17114.0,3.21 %,"#3,085",44.858704,-93.550209,Chanhassen,Minnesota
56301,29030.0,3.20 %,"#3,098",45.478378,-94.225600,Saint Cloud,Minnesota
55447,23435.0,3.18 %,"#3,113",45.001581,-93.490856,Minneapolis,Minnesota
55109,30514.0,3.09 %,"#3,192",45.016061,-93.026441,Saint Paul,Minnesota
55432,30576.0,2.97 %,"#3,314",45.096587,-93.254518,Minneapolis,Minnesota
56143,4845.0,2.93 %,"#3,361",43.624127,-95.010289,Jackson,Minnesota
55439,8884.0,2.93 %,"#3,365",44.873551,-93.373048,Minneapolis,Minnesota
55120,4722.0,2.81 %,"#3,510",44.874984,-93.152093,Saint Paul,Minnesota
55972,4506.0,2.72 %,"#3,627",43.998854,-92.055706,Saint Charles,Minnesota
55102,17727.0,2.70 %,"#3,652",44.933307,-93.121401,Saint Paul,Minnesota
55416,27276.0,2.70 %,"#3,654",44.951183,-93.340989,Minneapolis,Minnesota
55406,33033.0,2.69 %,"#3,669",44.938334,-93.221638,Minneapolis,Minnesota
55305,19299.0,2.64 %,"#3,734",44.956379,-93.428013,Hopkins,Minnesota
55077,10590.0,2.63 %,"#3,743",44.807660,-93.063149,Inver Grove Heights,Minnesota
56304,15703.0,2.62 %,"#3,759",45.520908,-94.053607,Saint Cloud,Minnesota
55311,19827.0,2.60 %,"#3,785",45.106403,-93.497029,Osseo,Minnesota
56303,23601.0,2.51 %,"#3,897",45.580031,-94.217226,Saint Cloud,Minnesota
56177,123.0,2.43 %,"#3,988",43.874131,-96.252497,Trosky,Minnesota
56001,38940.0,2.43 %,"#3,991",44.128697,-93.978814,Mankato,Minnesota
55419,17197.0,2.43 %,"#3,992",44.902370,-93.287659,Minneapolis,Minnesota
55128,27309.0,2.42 %,"#4,003",44.987546,-92.963553,Saint Paul,Minnesota
55409,21100.0,2.40 %,"#4,041",44.923939,-93.283436,Minneapolis,Minnesota
55422,27810.0,2.40 %,"#4,044",45.009275,-93.341105,Minneapolis,Minnesota
55417,25117.0,2.28 %,"#4,227",44.902611,-93.231692,Minneapolis,Minnesota
55068,20734.0,2.26 %,"#4,260",44.720800,-93.082100,Rosemount,Minnesota
55434,27553.0,2.25 %,"#4,268",45.163716,-93.250487,Minneapolis,Minnesota
56022,133.0,2.25 %,"#4,269",44.041711,-94.838968,Darfur,Minnesota
55369,33294.0,2.25 %,"#4,273",45.130113,-93.444661,Osseo,Minnesota
55105,27818.0,2.22 %,"#4,314",44.934838,-93.165705,Saint Paul,Minnesota
55987,34771.0,2.20 %,"#4,342",43.971432,-91.653488,Winona,Minnesota
55410,18435.0,2.19 %,"#4,361",44.913345,-93.316942,Minneapolis,Minnesota
55805,11028.0,2.14 %,"#4,436",46.799943,-92.098704,Duluth,Minnesota
