,Zipcodes,Zipcode Latitude,Zipcode Longitude,Business,City,Zipcodes,Biz Latitude,Biz Longitude
126,55104,44.954158,-93.159601,Golden Karen Groceries,Saint Paul,55103,44.96003,-93.10715
130,55104,44.954158,-93.159601,Little India,Minneapolis,55418,45.00713,-93.2468
136,55105,44.934838,-93.165705,Dragon Star Oriental Foods,Saint Paul,55104,44.96358,-93.1270399
137,55105,44.934838,-93.165705,Kim's Oriental Market,Saint Paul,55104,44.96183349,-93.16735013
138,55105,44.934838,-93.165705,United Noodles,Minneapolis,55404,44.958324,-93.2424698
139,55105,44.934838,-93.165705,Shuang Hur Oriental Market,Saint Paul,55145,44.95538712,-93.12794495
140,55105,44.934838,-93.165705,Shanghai Wholesale,Minneapolis,55413,44.9952895,-93.2103175
141,55105,44.934838,-93.165705,88 Oriental Market,Saint Paul,55103,44.95608902,-93.11221313
142,55105,44.934838,-93.165705,Sun Foods,Saint Paul,55103,44.95499,-93.12435
143,55105,44.934838,-93.165705,Hana Asian Market,Bloomington,55425,44.83685,-93.24967
144,55105,44.934838,-93.165705,Hmongtown Marketplace,Saint Paul,55103,44.96147156,-93.1088562
145,55105,44.934838,-93.165705,Shanghai Market,Saint Paul,55108,44.97701263,-93.16553497
146,55105,44.934838,-93.165705,Double Dragon Foods,Saint Paul,55117,44.97803116,-93.10518646
149,55105,44.934838,-93.165705,Caspian Bistro & Marketplace,Minneapolis,55414,44.973218,-93.222054
155,55105,44.934838,-93.165705,Golden Karen Groceries,Saint Paul,55103,44.96003,-93.10715
157,55105,44.934838,-93.165705,Little India,Minneapolis,55418,45.00713,-93.2468
165,55106,44.959966,-93.047108,Ha Tien Super Market,Saint Paul,55119,44.9504997,-93.0179289
166,55106,44.959966,-93.047108,Dragon Star Oriental Foods,Saint Paul,55104,44.96358,-93.1270399
167,55106,44.959966,-93.047108,Hoa Mei Supermarket & Deli,Saint Paul,55106,44.9772606,-93.0642929
168,55106,44.959966,-93.047108,88 Oriental Market,Saint Paul,55103,44.95608902,-93.11221313
169,55106,44.959966,-93.047108,Golden Harvest Foods,Saint Paul,55106,44.9772606,-93.0622406
170,55106,44.959966,-93.047108,Hmongtown Marketplace,Saint Paul,55103,44.96147156,-93.1088562
171,55106,44.959966,-93.047108,Sun Foods,Saint Paul,55103,44.95499,-93.12435
172,55106,44.959966,-93.047108,Shuang Hur Oriental Market,Saint Paul,55145,44.95538712,-93.12794495
173,55106,44.959966,-93.047108,Double Dragon Foods,Saint Paul,55117,44.97803116,-93.10518646
179,55106,44.959966,-93.047108,Golden Karen Groceries,Saint Paul,55103,44.96003,-93.10715
183,55107,44.93073,-93.080271,Dragon Star Oriental Foods,Saint Paul,55104,44.96358,-93.1270399
184,55107,44.93073,-93.080271,Ha Tien Super Market,Saint Paul,55119,44.9504997,-93.0179289
185,55107,44.93073,-93.080271,Kim's Oriental Market,Saint Paul,55104,44.96183349,-93.16735013
186,55107,44.93073,-93.080271,88 Oriental Market,Saint Paul,55103,44.95608902,-93.11221313
187,55107,44.93073,-93.080271,Hmongtown Marketplace,Saint Paul,55103,44.96147156,-93.1088562
188,55107,44.93073,-93.080271,Shuang Hur Oriental Market,Saint Paul,55145,44.95538712,-93.12794495
