,Zipcodes,Population,% Asians,National Rank,Latitude,Longitude,City,State
97,55418,30795.0,3.57 %,"#2,762",45.021310,-93.244136,Minneapolis,Minnesota
98,55419,17197.0,2.43 %,"#3,992",44.902370,-93.287659,Minneapolis,Minnesota
99,55420,21315.0,7.05 %,"#1,330",44.835969,-93.277176,Minneapolis,Minnesota
100,55421,25622.0,3.61 %,"#2,734",45.050555,-93.249955,Minneapolis,Minnesota
101,55422,27810.0,2.40 %,"#4,044",45.009275,-93.341105,Minneapolis,Minnesota
102,55423,34594.0,5.31 %,"#1,818",44.877193,-93.281359,Minneapolis,Minnesota
105,55426,25458.0,3.59 %,"#2,744",44.956560,-93.381608,Minneapolis,Minnesota
106,55427,23441.0,3.42 %,"#2,897",45.004595,-93.381351,Minneapolis,Minnesota
107,55428,29933.0,4.24 %,"#2,301",45.064039,-93.383509,Minneapolis,Minnesota
108,55429,25930.0,8.35 %,"#1,087",45.063552,-93.341097,Minneapolis,Minnesota
109,55430,21102.0,10.25 %,#844,45.063112,-93.300411,Minneapolis,Minnesota
110,55431,18542.0,3.64 %,"#2,710",44.825914,-93.310998,Minneapolis,Minnesota
111,55432,30576.0,2.97 %,"#3,314",45.096587,-93.254518,Minneapolis,Minnesota
112,55433,34714.0,1.66 %,"#5,335",45.160411,-93.314839,Minneapolis,Minnesota
113,55434,27553.0,2.25 %,"#4,268",45.163716,-93.250487,Minneapolis,Minnesota
114,55435,11268.0,5.24 %,"#1,842",44.873981,-93.335255,Minneapolis,Minnesota
115,55436,12607.0,2.08 %,"#4,527",44.907173,-93.375086,Minneapolis,Minnesota
116,55437,18828.0,4.23 %,"#2,306",44.822972,-93.344341,Minneapolis,Minnesota
117,55438,17425.0,4.59 %,"#2,106",44.826731,-93.379393,Minneapolis,Minnesota
119,55441,17398.0,3.59 %,"#2,745",45.007993,-93.425314,Minneapolis,Minnesota
120,55442,13196.0,3.81 %,"#2,579",45.046291,-93.428928,Minneapolis,Minnesota
121,55443,25379.0,8.84 %,"#1,013",45.117609,-93.338118,Minneapolis,Minnesota
122,55444,15702.0,11.59 %,#700,45.107694,-93.303067,Minneapolis,Minnesota
124,55446,12464.0,5.19 %,"#1,867",45.046438,-93.485395,Minneapolis,Minnesota
125,55447,23435.0,3.18 %,"#3,113",45.001581,-93.490856,Minneapolis,Minnesota
126,55448,26551.0,1.49 %,"#5,775",45.193911,-93.299952,Minneapolis,Minnesota
127,55449,11678.0,3.52 %,"#2,806",45.177288,-93.181914,Minneapolis,Minnesota
